"고유번호","환승시작역","환승시작 코드","환승시작 호선","하차 열차 방면","하차위치(호차)","하차위치(문)","환승종료역","환승 열차 방면","환승 승차위치(호차)","환승 승차위치(문)","소요시간"
1,서울역,"0150","1",시청 방면,"10","4","0427",숙대입구 방면,"1","1","03:34"
2,서울역,"0150","1",남영 방면,"1","2","0425",회현 방면,"10","4","03:40"
3,서울역,"0150","1",남영 방면,"1","2","0427",숙대입구 방면,"1","1","03:34"
4,서울역,"0150","1",시청 방면,"10","4","0425",회현 방면,"10","4","03:40"
5,서울역,"0150","1",남영 방면,"1","2","4202",공덕 방면,"2","4","15:56"
6,서울역,"0150","1",시청 방면,"10","4","4202",공덕 방면,"2","4","15:56"
7,시청,"0151","1",서울역 방면,"1","1","0243",충정로 방면,"1","1","04:00"
8,시청,"0151","1",서울역 방면,"1","1","0202",을지로입구 방면,"10","4","04:00"
9,시청,"0151","1",종각 방면,"10","4","0243",충정로 방면,"1","1","02:03"
10,시청,"0151","1",종각 방면,"10","4","0202",을지로입구 방면,"10","4","02:03"
11,종로3가,"0153","1",종각 방면,"6","2","0320",을지로3가 방면,"10","4","02:34"
12,종로3가,"0153","1",종로5가 방면,"4","2","0318",안국 방면,"2","3","05:19"
13,종로3가,"0153","1",종각 방면,"6","2","0318",안국 방면,"1","1","03:27"
14,종로3가,"0153","1",종로5가 방면,"6","4","0320",을지로3가 방면,"2","2","02:27"
15,종로3가,"0153","1",종각 방면,"7","3","2534",광화문 방면,"1","1","08:24"
16,종로3가,"0153","1",종로5가 방면,"6","4","2534",광화문 방면,"1","1","07:06"
17,종로3가,"0153","1",종로5가 방면,"6","1","2536",을지로4가 방면,"8","4","07:38"
18,종로3가,"0153","1",종각 방면,"7","3","2536",을지로4가 방면,"8","4","09:14"
19,동대문,"0155","1",종로5가 방면,"1","3","0422",동대문역사문화공원 방면,"4","1","04:13"
20,동대문,"0155","1",동묘앞 방면,"9","3","0420",혜화 방면,"3","3","05:25"
21,동대문,"0155","1",종로5가 방면,"1","3","0420",혜화 방면,"3","3","05:09"
22,동대문,"0155","1",동묘앞 방면,"9","3","0422",동대문역사문화공원 방면,"3","4","05:28"
23,신설동,"0156","1",동묘앞 방면,"9","4","0250",용두 방면,"4","4","05:00"
24,신설동,"0156","1",제기동 방면,"9","3","0250",용두 방면,"4","2","06:45"
25,신설동,"0156","1",제기동 방면,"9","4","4712",보문 방면,"1","2","03:27"
26,신설동,"0156","1",동묘앞 방면,"2","1","4712",보문 방면,"1","2","04:12"
27,청량리,"0158","1",회기 방면,"1","1","1013",왕십리 방면,"5","3","09:10"
28,청량리,"0158","1",회기 방면,"1","1","101C",회기 방면,"5","3","05:56"
29,청량리,"0158","1",제기동 방면,"10","4","1013",왕십리 방면,"8","4","09:10"
30,청량리,"0158","1",제기동 방면,"10","4","101C",회기 방면,"5","3","05:56"
31,청량리,"0158","1",제기동 방면,"10","4","1307",회기 방면,"8","4","05:56"
32,청량리,"0158","1",회기 방면,"1","1","1307",회기 방면,"8","4","05:56"
33,청량리,"0158","1",회기 방면,"1","1","102C",왕십리 방면,"8","4","05:40"
34,청량리,"0158","1",제기동 방면,"10","4","102C",왕십리 방면,"8","4","05:40"
35,동묘앞,"0159","1",동대문 방면,"2","4","2638",창신 방면,"7","3","03:33"
36,동묘앞,"0159","1",동대문 방면,"2","4","2636",신당 방면,"2","3","03:33"
37,동묘앞,"0159","1",신설동 방면,"9","1","2638",창신 방면,"7","3","03:36"
38,동묘앞,"0159","1",신설동 방면,"9","1","2636",신당 방면,"2","3","03:36"
39,용산,"1003","1",노량진 방면,"1","1","1008",이촌 방면,"8","4","03:52"
40,용산,"1003","1",노량진 방면,"1","1","1261",효창공원앞 방면,"1","2","03:42"
41,용산,"1003","1",남영 방면,"10","2","1008",이촌 방면,"8","4","03:48"
42,용산,"1003","1",남영 방면,"10","2","1261",효창공원앞 방면,"1","2","03:32"
43,노량진,"1004","1",용산 방면,"5","2","4116",샛강 방면,"2","3","05:13"
44,노량진,"1004","1",용산 방면,"5","2","4118",노들 방면,"5","2","05:20"
45,노량진,"1004","1",대방 방면,"3","1","4118",노들 방면,"5","2","03:40"
46,노량진,"1004","1",대방 방면,"3","1","4116",샛강 방면,"2","3","03:35"
47,신도림,"1007","1",영등포 방면,"5","2","0235",문래 방면,"7","2","02:36"
48,신도림,"1007","1",영등포 방면,"5","1","0247",도림천 방면,"1","1","02:17"
49,신도림,"1007","1",구로 방면,"6","2","0247",도림천 방면,"4","1","01:43"
50,신도림,"1007","1",구로 방면,"6","2","0233",대림 방면,"4","3","01:57"
51,신도림,"1007","1",영등포 방면,"5","1","0233",대림 방면,"4","3","02:20"
52,신도림,"1007","1",구로 방면,"7","3","0235",문래 방면,"9","3","03:30"
53,회기,"1015","1",외대앞 방면,"4","2","1014",청량리 방면,"3","3","02:03"
54,회기,"1015","1",청량리 방면,"4","3","1201",중랑 방면,"6","2","02:15"
55,회기,"1015","1",청량리 방면,"7","2","1014",청량리 방면,"3","3","02:03"
56,회기,"1015","1",외대앞 방면,"7","3","1201",중랑 방면,"6","2","02:21"
57,회기,"1015","1",청량리 방면,"7","2","1308",중랑 방면,"3","3","02:09"
58,회기,"1015","1",외대앞 방면,"4","2","1306",청량리 방면,"6","2","02:09"
59,회기,"1015","1",외대앞 방면,"4","2","1308",중랑 방면,"3","3","02:09"
60,회기,"1015","1",청량리 방면,"7","2","1306",청량리 방면,"6","2","02:09"
61,석계,"1018","1",신이문 방면,"1","1","2646",태릉입구 방면,"4","2","05:17"
62,석계,"1018","1",광운대 방면,"10","4","2646",태릉입구 방면,"4","3","05:18"
63,석계,"1018","1",광운대 방면,"10","4","2644",돌곶이 방면,"5","2","05:19"
64,석계,"1018","1",신이문 방면,"1","1","2644",돌곶이 방면,"5","2","05:25"
65,창동,"1022","1",방학 방면,"4","4","0411",노원 방면,"10","4","02:10"
66,창동,"1022","1",녹천 방면,"7","2","0411",노원 방면,"10","4","02:11"
67,창동,"1022","1",방학 방면,"4","4","0413",쌍문 방면,"5","4","02:15"
68,창동,"1022","1",녹천 방면,"7","2","0413",쌍문 방면,"5","4","02:34"
69,신길,"1032","1",대방 방면,"9","1","2527",여의도 방면,"7","3","07:05"
70,신길,"1032","1",영등포 방면,"2","4","2527",여의도 방면,"7","3","06:50"
71,신길,"1032","1",영등포 방면,"2","4","2525",영등포시장 방면,"2","1","07:07"
72,신길,"1032","1",대방 방면,"9","1","2525",영등포시장 방면,"2","1","07:18"
73,가산디지털단지,"1702","1",구로 방면,"10","3","2747",남구로 방면,"5","1","04:13"
